Unnamed: 0,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,clean_course_title,Year,Month,Day,Profit,course_title_len
25,383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,,150.0,5786,518,50,All Levels,5 hours,2015-01-31,Business Finance,Beginner Pro PowerPoint Complete PowerPoint Training,2015,1,31,867900.0,59
26,353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,,200.0,5334,373,42,All Levels,4.5 hours,2014-11-28,Business Finance,Investing 101 Complete Online Investing Course,2014,11,28,1066800.0,51
27,447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,,175.0,4005,237,25,Intermediate Level,2 hours,2015-04-12,Business Finance,Create Hedge Fund Trade Stocks Like Fund Manager,2015,4,12,700875.0,60
28,831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,,150.0,2877,103,81,All Levels,4.5 hours,2016-04-26,Business Finance,Learn MQL5 Build 8Currency Hedging Robot MetaTrader 5,2016,4,26,431550.0,60
29,1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,,140.0,1026,25,37,Beginner Level,3 hours,2017-06-27,Business Finance,Forex Trading Complete Guide Started Like Pro,2017,6,27,143640.0,60
30,1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,,95.0,1165,21,41,Beginner Level,2.5 hours,2017-05-28,Business Finance,Python Algo Stock Trading Automate Trading,2017,5,28,110675.0,49
31,948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,,200.0,1843,171,35,All Levels,1.5 hours,2016-10-04,Business Finance,Forex Robot Incredible ROI Robot Included,2016,10,4,368600.0,48
32,380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,,45.0,8797,449,80,All Levels,6.5 hours,2015-01-09,Business Finance,Complete Bitcoin Course 001 Bitcoin Wallet,2015,1,9,395865.0,60
33,1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,,200.0,1030,11,22,All Levels,2 hours,2017-06-01,Business Finance,Mastering High Probability Iron Condor Options Trading,2017,6,1,206000.0,54
34,1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,,200.0,1041,12,28,All Levels,1.5 hours,2017-06-11,Business Finance,Complete Short Course Ethereum,2017,6,11,208200.0,37
35,434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,,195.0,7884,118,68,Intermediate Level,10 hours,2015-05-19,Business Finance,Options Trading Stocks Proven Toolbox Financial Success,2015,5,19,1537380.0,60
36,308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,,195.0,16900,2476,52,Beginner Level,5.5 hours,2014-12-12,Business Finance,Forex Trading AZ  LIVE Examples Forex Trading,2014,12,12,3295500.0,56
37,888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,,200.0,11441,1118,61,All Levels,4.5 hours,2016-06-28,Business Finance,Introduction Finance Accounting Modeling Valuation,2016,6,28,2288200.0,59
38,321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,,195.0,22257,2697,138,All Levels,7.5 hours,2014-11-25,Business Finance,Beginner Pro Excel Financial Modeling Valuation,2014,11,25,4340115.0,58
39,965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,,195.0,8575,809,110,All Levels,5.5 hours,2016-10-10,Business Finance,Complete Investment Banking Course 2017,2016,10,10,1672125.0,43
40,648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,,195.0,24481,2347,174,All Levels,10 hours,2016-01-21,Business Finance,Complete Financial Analyst Course 2017,2016,1,21,4773795.0,42
41,1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,,195.0,3811,278,103,All Levels,6.5 hours,2017-03-30,Business Finance,Python Finance Investment Fundamentals  Data Analytics,2017,3,30,743145.0,60
42,1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,,195.0,4991,137,79,Beginner Level,11.5 hours,2017-03-29,Business Finance,Financial Modeling Startups  Small Businesses,2017,3,29,973245.0,50
43,627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,,115.0,7489,1190,25,Intermediate Level,1 hour,2015-10-22,Business Finance,Options Trading  Win Weekly Options,2015,10,22,861235.0,48
44,301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,,200.0,20195,1113,227,All Levels,16 hours,2014-10-27,Business Finance,Black Algo Trading Build Trading Robot,2014,10,27,4039000.0,44
45,640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,,150.0,10042,594,43,All Levels,3 hours,2015-10-22,Business Finance,Accounting  Financial Statement Analysis Complete Training,2015,10,22,1506300.0,60
46,1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,,95.0,367,42,35,All Levels,5 hours,2017-06-21,Business Finance,Cryptocurrency Trading Complete Guide Trading Altcoins,2017,6,21,34865.0,58
47,260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,,200.0,10603,872,42,All Levels,5.5 hours,2014-10-12,Business Finance,Forex Robots Expect Earn 175 PA Forex Robot Included,2014,10,12,2120600.0,60
48,1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,,190.0,1197,11,46,All Levels,5 hours,2017-05-24,Business Finance,Steps Trading  Live Trading  Real Account,2017,5,24,227430.0,49
49,848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,,150.0,2893,65,62,All Levels,2 hours,2016-08-10,Business Finance,Option Trading Rookies Understand Options Completely,2016,8,10,433950.0,58
50,1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,,200.0,1580,12,53,Expert Level,2 hours,2017-05-02,Business Finance,Learned Stock Trading and Too,2017,5,2,316000.0,49
51,325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,,95.0,10605,71,77,All Levels,3 hours,2014-10-24,Business Finance,Learn Trade Profit Find Trade Winning Stocks,2014,10,24,1007475.0,56
